"","Date","Close","Open","High","Low"
"747",2018-03-26,3133.722,3117.319,3134.276,3091.458
"748",2018-03-27,3166.649,3164.798,3172.778,3143.57
"749",2018-03-28,3122.29,3130.571,3165.213,3117.534
"750",2018-03-29,3160.531,3127.263,3174.509,3098.247
"751",2018-03-30,3168.897,3161.786,3177.721,3152.889
"752",2018-04-02,3163.179,3169.779,3192.34,3159.986
"753",2018-04-03,3136.633,3130.013,3144.332,3119.132
"754",2018-04-04,3131.111,3147.049,3163.34,3128.867
"755",2018-04-09,3138.294,3125.442,3146.093,3110.303
"756",2018-04-10,3190.322,3144.257,3190.649,3139.081
"757",2018-04-11,3208.082,3197.372,3220.845,3191.587
"758",2018-04-12,3180.158,3203.278,3205.252,3177.049
"759",2018-04-13,3159.052,3192.042,3197.896,3155.506
"760",2018-04-16,3110.649,3152.888,3153.106,3096.1
"761",2018-04-17,3066.797,3112.975,3118.76,3064.028
"762",2018-04-18,3091.399,3091.91,3096.889,3041.625
"763",2018-04-19,3117.376,3094.274,3127.439,3090.287
"764",2018-04-20,3071.543,3105.462,3111.171,3065.921
"765",2018-04-23,3068.012,3063.443,3085.057,3045.937
"766",2018-04-24,3128.927,3069.746,3136.04,3069.746
"767",2018-04-25,3117.974,3112.398,3122.908,3107.001
"768",2018-04-26,3075.03,3119.496,3121.933,3067.929
"769",2018-04-27,3082.232,3082.415,3088.035,3049.914
"770",2018-05-02,3081.177,3087.409,3097.604,3064.763
"771",2018-05-03,3100.859,3074.517,3105.66,3056.157
"772",2018-05-04,3091.033,3093.117,3104.093,3086.785
"773",2018-05-07,3136.645,3094.899,3136.836,3091.658
"774",2018-05-08,3161.498,3135.296,3169.701,3134.062
"775",2018-05-09,3159.15,3160.138,3165.373,3145.657
"776",2018-05-10,3174.413,3169.05,3176.138,3155.533
"777",2018-05-11,3163.263,3179.797,3180.756,3162.212
"778",2018-05-14,3174.032,3167.042,3183.816,3163.476
"779",2018-05-15,3192.118,3180.425,3192.807,3164.518
"780",2018-05-16,3169.565,3180.226,3191.948,3166.811
"781",2018-05-17,3154.283,3170.006,3172.766,3148.621
"782",2018-05-18,3193.303,3151.082,3193.453,3144.776
"783",2018-05-21,3213.84,3206.176,3219.74,3203.336
"784",2018-05-22,3214.35,3211.247,3214.589,3192.228
"785",2018-05-23,3168.964,3205.437,3205.437,3168.964
"786",2018-05-24,3154.651,3167.939,3173.531,3152.069
"787",2018-05-25,3141.303,3148.41,3156.726,3131.068
"788",2018-05-28,3135.082,3136.809,3149.665,3115.959
"789",2018-05-29,3120.461,3129.621,3143.208,3112.153
"790",2018-05-30,3041.443,3081.142,3085.397,3041
"791",2018-05-31,3095.474,3061.829,3098.076,3054.269
"792",2018-06-01,3075.137,3084.754,3102.088,3059.786
"793",2018-06-04,3091.191,3083.427,3098.402,3076.994
"794",2018-06-05,3114.206,3088.008,3114.769,3080.046
"795",2018-06-06,3115.18,3109.175,3117.525,3103.533
"796",2018-06-07,3109.499,3121.184,3128.715,3105.578
"797",2018-06-08,3067.148,3100.604,3100.685,3053.288
"798",2018-06-11,3052.783,3057.339,3063.61,3037.914
"799",2018-06-12,3079.802,3053.028,3081.447,3034.101
"800",2018-06-13,3049.797,3071.464,3071.464,3044.12
"801",2018-06-14,3044.16,3038.07,3066.047,3032.406
"802",2018-06-15,3021.901,3037.452,3048.797,3008.732
"803",2018-06-19,2907.822,2982.65,2984.971,2871.355
"804",2018-06-20,2915.731,2889.984,2925.561,2872.163
"805",2018-06-21,2875.81,2912.003,2940.586,2872.619
"806",2018-06-22,2889.76,2855.585,2891.969,2837.144
"807",2018-06-25,2859.336,2903.45,2908.624,2857.871
"808",2018-06-26,2844.508,2829.995,2850.24,2803.785
"809",2018-06-27,2813.178,2842.396,2854.258,2798.8
"810",2018-06-28,2786.897,2799.904,2825.987,2782.446
"811",2018-06-29,2847.418,2789.811,2848.372,2782.381
"812",2018-07-02,2775.557,2841.58,2845.68,2756.815
"813",2018-07-03,2786.888,2774.57,2786.888,2722.449
"814",2018-07-04,2759.126,2776.632,2793.179,2754.155
"815",2018-07-05,2733.882,2755.339,2777.523,2727.94
"816",2018-07-06,2747.229,2731.353,2768.874,2691.021
"817",2018-07-09,2815.11,2752.447,2815.79,2752.447
"818",2018-07-10,2827.625,2819.712,2828.493,2800.625
"819",2018-07-11,2777.771,2780.704,2794.36,2752.435
"820",2018-07-12,2837.659,2771.041,2844.193,2771.041
"821",2018-07-13,2831.184,2831.428,2835.463,2818.848
"822",2018-07-16,2814.042,2827.082,2837.509,2804.493
"823",2018-07-17,2798.126,2806.885,2806.919,2774.762
"824",2018-07-18,2787.257,2801.777,2818.395,2786.04
"825",2018-07-19,2772.545,2791.016,2805.011,2764.486
"826",2018-07-20,2829.271,2769.754,2837.862,2753.84
"827",2018-07-23,2859.542,2815.201,2863.571,2809.616
"828",2018-07-24,2905.562,2862.267,2911.465,2862.267
"829",2018-07-25,2903.647,2911.453,2912.313,2894.039
"830",2018-07-26,2882.225,2905.794,2915.297,2875.701
"831",2018-07-27,2873.594,2879.69,2889.694,2864.11
"832",2018-07-30,2869.05,2871.94,2896.011,2850.296
"833",2018-07-31,2876.401,2866.899,2884.68,2854.32
"834",2018-08-01,2824.534,2882.506,2897.4,2823.929
"835",2018-08-02,2768.024,2815.344,2815.344,2726.483
"836",2018-08-03,2740.443,2763.396,2777.657,2740.432
"837",2018-08-06,2705.157,2736.526,2760.474,2692.322
"838",2018-08-07,2779.374,2711.736,2779.374,2696.039
"839",2018-08-08,2744.07,2771.129,2779.912,2741.067
"840",2018-08-09,2794.382,2729.579,2801.659,2726.215
"841",2018-08-10,2795.31,2791.402,2806.115,2777.506
"842",2018-08-13,2785.872,2769.017,2789.798,2742.56
"843",2018-08-14,2780.965,2780.736,2789.444,2766.569
"844",2018-08-15,2723.258,2777.249,2777.703,2721.24
"845",2018-08-16,2705.192,2691.426,2732.949,2672.741
"846",2018-08-17,2668.966,2723.887,2730.333,2665.592
"847",2018-08-20,2698.466,2673.066,2698.466,2653.112
"848",2018-08-21,2733.826,2700.342,2739.173,2696.292
